"id_user","count_i_usage","category","class","class2"
"33,978",10,top_25_30,ordinary,ordinary
"33,983",15,top_5_10,top_5_10,outstanding
"33,986",4,top_50_100,ordinary,ordinary
"33,987",17,top_5_10,top_5_10,outstanding
"33,989",1,top_40_45,ordinary,ordinary
"33,994",9,top_20_25,ordinary,ordinary
"33,995",1,top_50_100,ordinary,ordinary
"33,996",33,top_5,top_5,outstanding
"34,000",5,top_45_50,ordinary,ordinary
"34,001",6,top_50_100,ordinary,ordinary
"34,003",25,top_5,top_5,outstanding
"34,007",3,top_50_100,ordinary,ordinary
"34,010",8,top_45_50,ordinary,ordinary
"34,011",2,top_20_25,ordinary,ordinary
"34,015",3,top_15_20,ordinary,ordinary
"34,018",1,top_50_100,ordinary,ordinary
"34,019",2,top_50_100,ordinary,ordinary
"34,022",16,top_20_25,ordinary,ordinary
"34,025",15,top_50_100,ordinary,ordinary
"34,028",3,top_50_100,ordinary,ordinary
"34,032",6,top_5,top_5,outstanding
"34,036",5,top_30_35,ordinary,ordinary
"34,037",3,top_50_100,ordinary,ordinary
"34,038",3,top_30_35,ordinary,ordinary
"34,041",35,top_10_15,top_10_15,outstanding
"34,042",2,top_25_30,ordinary,ordinary
"34,043",6,top_50_100,ordinary,ordinary
"34,047",7,top_25_30,ordinary,ordinary
"34,048",31,top_20_25,ordinary,ordinary
"34,049",2,top_5_10,top_5_10,outstanding
"34,052",2,top_50_100,ordinary,ordinary
"34,054",20,top_5_10,top_5_10,outstanding
